index,team_api_id,team_long_name,team_short_name,team_fifa_api_id
95,9790,Hamburger SV,HAM,28
96,8178,Bayer 04 Leverkusen,LEV,32
97,9789,Borussia Dortmund,DOR,22
98,10189,FC Schalke 04,S04,34
99,9904,Hannover 96,HAN,485
100,8721,VfL Wolfsburg,WOL,175
101,8722,1. FC Köln,FCK,31
102,9810,Eintracht Frankfurt,EFR,1824
103,8177,Hertha BSC Berlin,HBE,166
104,9912,DSC Arminia Bielefeld,BIE,159
105,8697,SV Werder Bremen,WBR,38
106,8398,FC Energie Cottbus,COT,162
107,8226,TSG 1899 Hoffenheim,HOF,10029
108,9788,Borussia Mönchengladbach,GLA,23
109,10269,VfB Stuttgart,STU,36
110,8295,Karlsruher SC,KAR,1832
111,9911,VfL Bochum,BOC,160
112,8358,SC Freiburg,FRE,25
113,8165,1. FC Nürnberg,NUR,171
114,9905,1. FSV Mainz 05,MAI,169
115,8350,1. FC Kaiserslautern,KAI,29
116,8152,FC St. Pauli,STP,110329
117,8406,FC Augsburg,AUG,100409
118,8194,Fortuna Düsseldorf,FDU,110636
119,8357,SpVgg Greuther Fürth,GRF,165
120,9776,Eintracht Braunschweig,BRA,110500
121,8460,SC Paderborn 07,PAD,10030
122,8234,FC Ingolstadt 04,ING,111239
123,8262,SV Darmstadt 98,DAR,110502
124,8524,Atalanta,ATA,39
125,8551,Siena,SIE,1838
126,8529,Cagliari,CAG,1842
127,8543,Lazio,LAZ,46
128,8530,Catania,CAT,110364
129,10233,Genoa,GEN,110556
130,8533,Chievo Verona,CHI,192
131,8690,Reggio Calabria,REG,203
132,8535,Fiorentina,FIO,110374
133,9885,Juventus,JUV,45
134,8564,Milan,ACM,47
135,9857,Bologna,BOL,189
136,8686,Roma,ROM,52
137,9875,Napoli,NAP,48
138,9882,Sampdoria,SAM,1837
139,8636,Inter,INT,44
140,9804,Torino,TOR,54
141,9888,Lecce,LEC,347
142,8600,Udinese,UDI,55
143,8540,Palermo,PAL,1843
144,9976,Bari,BAR,1848
145,8537,Livorno,LIV,1844
146,10167,Parma,PAR,50
147,9880,Cesena,CES,110915
148,9858,Brescia,BRE,190
149,6269,Novara,NOV,112225
150,9878,Pescara,PES,200
151,9876,Hellas Verona,VER,206
152,7943,Sassuolo,SAS,111974
153,8534,Empoli,EMP,1746
154,9891,Frosinone,FRO,111657
155,208931,Carpi,CAP,112409
156,8277,Vitesse,VIT,1909
157,8674,FC Groningen,GRO,1915
158,9803,Roda JC Kerkrade,ROD,1902
159,8611,FC Twente,TWE,1908
160,8525,Willem II,WII,1907
161,8593,Ajax,AJA,245
162,8464,N.E.C.,NEC,1910
163,8526,De Graafschap,GRA,635
164,9908,FC Utrecht,UTR,1903
165,8640,PSV,PSV,247
166,9791,Heracles Almelo,HER,100634
167,10235,Feyenoord,FEY,246
168,8614,Sparta Rotterdam,SPA,100646
169,10217,ADO Den Haag,HAA,650
170,6601,FC Volendam,VOL,112518
171,10228,SC Heerenveen,HEE,1913
172,10229,AZ,ALK,1906
173,9761,NAC Breda,NAC,1904
174,10219,RKC Waalwijk,RKC,1905
175,9839,VVV-Venlo,VEN,100651
176,10218,Excelsior,EXC,1971
177,6413,PEC Zwolle,ZWO,1914
178,7788,SC Cambuur,CAM,647
179,6433,Go Ahead Eagles,GAE,100632
180,6631,FC Dordrecht,DOR,100626
181,10265,Wisła Kraków,WIS,1873
182,8031,Polonia Bytom,POB,111429
183,8020,Polonia Bytom,GOR,111429
184,1601,Ruch Chorzów,CHO,874
185,8673,Legia Warszawa,LEG,1871
186,2183,P. Warszawa,PWA,1570
187,8025,Śląsk Wrocław,SLA,111092
188,8030,Lechia Gdańsk,LGD,111091
189,8244,Widzew Łódź,LOD,301
190,8242,Odra Wodzisław,ODR,1564
191,2182,Lech Poznań,POZ,873
192,8569,GKS Bełchatów,BEL,110744
193,8322,Arka Gdynia,ARK,111082
194,1957,Jagiellonia Białystok,BIA,110745
195,8028,Piast Gliwice,PIG,111086
196,2186,Cracovia,CKR,110747
197,8245,Korona Kielce,KKI,111083
198,8021,Zagłębie Lubin,ZAG,110749
199,8024,Widzew Łódź,WID,301
200,8033,Podbeskidzie Bielsko-Biała,POD,111087
201,8023,Pogoń Szczecin,POG,110746
202,8027,Zawisza Bydgoszcz,ZAW,112512
203,8019,Górnik Łęczna,LEC,110565
204,177361,Termalica Bruk-Bet Nieciecza,TBN,112520
205,9773,FC Porto,POR,236
206,9807,CF Os Belenenses,BEL,1889
207,9768,Sporting CP,SCP,237
208,7992,Trofense,TRO,112521
209,7844,Vitória Guimarães,GUI,1887
210,10238,Vitória Setúbal,SET,665
211,6403,FC Paços de Ferreira,FER,1892
212,10264,SC Braga,BRA,1896
213,10213,Amadora,AMA,112517
214,10215,Académica de Coimbra,ACA,1901
215,7841,Rio Ave FC,RA,744
216,9772,SL Benfica,BEN,234
217,6421,Leixões SC,LEI,10018
218,10214,CD Nacional,NAC,1891
219,9809,Naval 1° de Maio,NAV,100737
220,10212,CS Marítimo,MAR,1893
221,9771,"União de Leiria, SAD",ULE,1895
222,2033,S.C. Olhanense,OLH,111540
223,9765,Portimonense,POR,112516
224,10211,SC Beira Mar,B-M,1897
225,4064,Feirense,FEI,112514
226,9764,Gil Vicente FC,GV,1888
227,8348,Moreirense FC,MOR,1900
228,7842,Estoril Praia,EST,10020
229,158085,FC Arouca,ARO,112513
230,6547,FC Penafiel,PEN,100741
231,8613,Boavista FC,BOA,1898
232,6367,Uniao da Madeira,MAD,112524
233,188163,Tondela,TON,112515
234,8596,Falkirk,FAL,79
235,8548,Rangers,RAN,86
236,9860,Heart of Midlothian,HEA,80
237,9927,Motherwell,MOT,83
238,8597,Kilmarnock,KIL,82
239,10251,Hibernian,HIB,81
240,8485,Aberdeen,ABE,77
241,8066,Inverness Caledonian Thistle,INV,620
242,9925,Celtic,CEL,78
243,9800,St. Mirren,MIR,100805
244,8429,Hamilton Academical FC,HAM,184
245,9938,Dundee United,DUU,181
246,8467,St. Johnstone FC,JOH,100804
247,8457,Dunfermline Athletic,DUN,182
248,8284,Dundee FC,DUF,180
249,8649,Ross County FC,ROS,631
250,8426,Partick Thistle F.C.,PAR,1754
251,10267,Valencia CF,VAL,461
252,8661,RCD Mallorca,MAL,453
253,8371,CA Osasuna,OSA,479
254,10205,Villarreal CF,VIL,483
255,9783,RC Deportivo de La Coruña,COR,242
256,8633,Real Madrid CF,REA,243
257,8388,CD Numancia,NUM,477
258,8634,FC Barcelona,BAR,241
259,8696,Racing Santander,SAN,456
260,8302,Sevilla FC,SEV,481
261,9869,Real Sporting de Gijón,SPG,459
262,8305,Getafe CF,GET,1860
263,8603,Real Betis Balompié,BET,449
264,8479,RC Recreativo,HUE,571
265,8558,RCD Espanyol,ESP,452
266,10281,Real Valladolid,VAL,462
267,8315,Athletic Club de Bilbao,BIL,448
268,9865,UD Almería,ALM,1861
269,9906,Atlético Madrid,AMA,240
270,9864,Málaga CF,MAL,573
271,9868,Xerez Club Deportivo,XER,1742
272,8394,Real Zaragoza,ZAR,244
273,9867,CD Tenerife,TEN,260
274,10278,Hércules Club de Fútbol,HER,100879
275,8581,Levante UD,LEV,1853
276,8560,Real Sociedad,SOC,457
277,7878,Granada CF,GRA,110832
278,8370,Rayo Vallecano,RAY,480
279,9910,RC Celta de Vigo,CEL,450
280,10268,Elche CF,ELC,468
281,8372,SD Eibar,EIB,467
282,7869,Córdoba CF,COR,1867
283,8306,UD Las Palmas,LAS,472
284,9956,Grasshopper Club Zürich,GRA,322
285,6493,AC Bellinzona,BEL,1714
286,10192,BSC Young Boys,YB,900
287,9931,FC Basel,BAS,896
288,9930,FC Aarau,AAR,434
289,10179,FC Sion,SIO,110770
290,10199,FC Luzern,LUZ,897
291,9824,FC Vaduz,VAD,286
292,7955,Neuchâtel Xamax,XAM,435
293,10243,FC Zürich,ZUR,894
294,10190,FC St. Gallen,GAL,898
295,10191,FC Thun,THU,1715
296,9777,Servette FC,SER,324
297,7730,FC Lausanne-Sports,LAU,1862
298,7896,Lugano,LUG,112523
