,team_api_id,team_long_name,team_short_name,team_fifa_api_id,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
27,9984,KSV Cercle Brugge,CEB,1750,300,2015-09-10,53,Balanced,49.0,Normal,43,Mixed,Organised,52,Normal,58,Normal,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover
28,8635,RSC Anderlecht,AND,229,46,2010-02-22,50,Balanced,46.0,Little,35,Mixed,Organised,70,Risky,50,Normal,60,Normal,Organised,70,High,50,Press,70,Wide,Cover
29,8635,RSC Anderlecht,AND,229,47,2011-02-22,50,Balanced,46.0,Little,52,Mixed,Free Form,70,Risky,50,Normal,60,Normal,Organised,70,High,50,Press,70,Wide,Offside Trap
30,8635,RSC Anderlecht,AND,229,48,2012-02-22,52,Balanced,46.0,Little,41,Mixed,Organised,53,Normal,57,Normal,47,Normal,Organised,45,Medium,43,Press,52,Normal,Cover
31,8635,RSC Anderlecht,AND,229,49,2013-09-20,52,Balanced,46.0,Little,41,Mixed,Organised,68,Risky,67,Lots,47,Normal,Organised,60,Medium,43,Press,65,Normal,Cover
32,8635,RSC Anderlecht,AND,229,50,2014-09-19,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,60,Medium,50,Press,65,Normal,Cover
33,8635,RSC Anderlecht,AND,229,51,2015-09-10,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,53,Medium,50,Press,61,Normal,Cover
34,9991,KAA Gent,GEN,674,497,2010-02-22,70,Fast,55.0,Little,65,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,50,Press,40,Normal,Cover
35,9991,KAA Gent,GEN,674,498,2011-02-22,55,Balanced,55.0,Little,55,Mixed,Organised,54,Normal,74,Lots,56,Normal,Organised,61,Medium,39,Press,38,Normal,Cover
36,9991,KAA Gent,GEN,674,499,2012-02-22,50,Balanced,55.0,Little,47,Mixed,Organised,55,Normal,66,Normal,47,Normal,Organised,48,Medium,45,Press,52,Normal,Cover
37,9991,KAA Gent,GEN,674,500,2013-09-20,50,Balanced,55.0,Little,37,Mixed,Organised,28,Safe,66,Normal,34,Normal,Free Form,50,Medium,53,Press,40,Normal,Cover
38,9991,KAA Gent,GEN,674,501,2014-09-19,50,Balanced,55.0,Normal,37,Mixed,Organised,28,Safe,66,Normal,34,Normal,Organised,55,Medium,59,Press,52,Normal,Cover
39,9991,KAA Gent,GEN,674,502,2015-09-10,50,Balanced,55.0,Normal,37,Mixed,Organised,42,Normal,66,Normal,34,Normal,Organised,49,Medium,54,Press,52,Normal,Cover
40,9998,RAEC Mons,MON,1747,842,2012-02-22,50,Balanced,50.0,Little,50,Mixed,Organised,55,Normal,48,Normal,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover
41,9998,RAEC Mons,MON,1747,843,2013-09-20,50,Balanced,50.0,Little,50,Mixed,Organised,55,Normal,67,Lots,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover
42,9998,RAEC Mons,MON,1747,844,2014-09-19,55,Balanced,50.0,Normal,55,Mixed,Organised,55,Normal,67,Lots,46,Normal,Organised,46,Medium,45,Press,47,Normal,Cover
43,7947,FCV Dender EH,DEN,112519,1464,2000-01-01,52,Balanced,48.0,Normal,48,Mixed,Free Form,52,Normal,53,Normal,53,Normal,Free Form,46,Medium,49,Press,52,Normal,Cover
44,9985,Standard de Liège,STL,232,1237,2010-02-22,53,Balanced,45.0,Little,40,Mixed,Organised,55,Normal,55,Normal,65,Normal,Organised,70,High,70,Double,65,Normal,Cover
45,9985,Standard de Liège,STL,232,1238,2011-02-22,68,Fast,45.0,Little,66,Mixed,Organised,53,Normal,66,Normal,63,Normal,Free Form,59,Medium,47,Press,66,Normal,Cover
46,9985,Standard de Liège,STL,232,1239,2012-02-22,75,Fast,45.0,Little,70,Long,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,60,Press,52,Normal,Cover
47,9985,Standard de Liège,STL,232,1240,2013-09-20,54,Balanced,45.0,Little,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,60,Press,52,Normal,Cover
48,9985,Standard de Liège,STL,232,1241,2014-09-19,54,Balanced,45.0,Normal,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,54,Press,52,Normal,Cover
49,9985,Standard de Liège,STL,232,1242,2015-09-10,54,Balanced,45.0,Normal,62,Mixed,Organised,55,Normal,58,Normal,60,Normal,Organised,45,Medium,54,Press,52,Normal,Cover
50,8203,KV Mechelen,MEC,110724,660,2010-02-22,65,Balanced,42.0,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,60,Medium,70,Double,60,Normal,Cover
51,8203,KV Mechelen,MEC,110724,661,2011-02-22,67,Fast,42.0,Little,57,Mixed,Organised,47,Normal,47,Normal,52,Normal,Organised,48,Medium,61,Press,48,Normal,Cover
52,8203,KV Mechelen,MEC,110724,662,2012-02-22,52,Balanced,42.0,Little,54,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,52,Medium,60,Press,48,Normal,Cover
53,8203,KV Mechelen,MEC,110724,663,2013-09-20,52,Balanced,42.0,Little,33,Short,Organised,47,Normal,53,Normal,50,Normal,Free Form,42,Medium,60,Press,52,Normal,Cover
54,8203,KV Mechelen,MEC,110724,664,2014-09-19,52,Balanced,42.0,Normal,40,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,42,Medium,51,Press,52,Normal,Cover
55,8203,KV Mechelen,MEC,110724,665,2015-09-10,52,Balanced,42.0,Normal,40,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,42,Medium,51,Press,52,Normal,Cover
56,8342,Club Brugge KV,CLB,231,319,2010-02-22,35,Balanced,52.0,Little,40,Mixed,Organised,45,Normal,50,Normal,45,Normal,Organised,60,Medium,70,Double,70,Wide,Cover
57,8342,Club Brugge KV,CLB,231,320,2011-02-22,67,Fast,52.0,Little,47,Mixed,Free Form,68,Risky,49,Normal,53,Normal,Free Form,57,Medium,44,Press,47,Normal,Cover
58,8342,Club Brugge KV,CLB,231,321,2012-02-22,64,Balanced,52.0,Little,54,Mixed,Organised,48,Normal,61,Normal,47,Normal,Organised,60,Medium,50,Press,52,Normal,Cover
59,8342,Club Brugge KV,CLB,231,322,2013-09-20,45,Balanced,52.0,Little,48,Mixed,Organised,48,Normal,61,Normal,47,Normal,Organised,43,Medium,59,Press,45,Normal,Cover
60,8342,Club Brugge KV,CLB,231,323,2014-09-19,42,Balanced,52.0,Normal,45,Mixed,Organised,42,Normal,57,Normal,47,Normal,Organised,51,Medium,50,Press,57,Normal,Cover
61,8342,Club Brugge KV,CLB,231,324,2015-09-10,42,Balanced,52.0,Normal,45,Mixed,Organised,42,Normal,57,Normal,47,Normal,Organised,51,Medium,50,Press,57,Normal,Cover
62,9999,KSV Roeselare,ROS,546,1103,2010-02-22,65,Balanced,48.0,Little,60,Mixed,Organised,50,Normal,35,Normal,40,Normal,Organised,65,Medium,70,Double,70,Wide,Cover
63,8571,KV Kortrijk,KOR,100081,654,2010-02-22,50,Balanced,40.0,Little,60,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,60,Medium,60,Press,65,Normal,Cover
64,8571,KV Kortrijk,KOR,100081,655,2011-02-22,38,Balanced,40.0,Little,65,Mixed,Free Form,38,Normal,69,Lots,52,Normal,Organised,34,Medium,57,Press,47,Normal,Cover
65,8571,KV Kortrijk,KOR,100081,656,2012-02-22,31,Slow,40.0,Little,47,Mixed,Organised,37,Normal,67,Lots,50,Normal,Organised,46,Medium,45,Press,52,Normal,Cover
66,8571,KV Kortrijk,KOR,100081,657,2013-09-20,42,Balanced,40.0,Little,40,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover
67,8571,KV Kortrijk,KOR,100081,658,2014-09-19,42,Balanced,40.0,Normal,47,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover
68,8571,KV Kortrijk,KOR,100081,659,2015-09-10,42,Balanced,40.0,Normal,47,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover
69,4049,Tubize,TUB,112522,1467,2000-01-01,52,Balanced,48.0,Normal,48,Mixed,Free Form,52,Normal,53,Normal,53,Normal,Free Form,46,Medium,49,Press,52,Normal,Cover
70,9996,Royal Excel Mouscron,MOU,111560,860,2015-09-10,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
71,9996,Royal Excel Mouscron,MOU,111560,861,2015-09-10,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
72,10001,KVC Westerlo,WES,681,1391,2010-02-22,45,Balanced,46.0,Little,60,Mixed,Organised,40,Normal,45,Normal,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
73,10001,KVC Westerlo,WES,681,1392,2011-02-22,34,Balanced,46.0,Little,52,Mixed,Free Form,66,Normal,48,Normal,53,Normal,Organised,48,Medium,59,Press,67,Wide,Cover
74,10001,KVC Westerlo,WES,681,1393,2012-02-22,52,Balanced,46.0,Little,50,Mixed,Organised,59,Normal,60,Normal,32,Little,Organised,48,Medium,45,Press,53,Normal,Cover
75,10001,KVC Westerlo,WES,681,1394,2015-09-10,52,Balanced,46.0,Normal,50,Mixed,Organised,57,Normal,55,Normal,32,Little,Organised,48,Medium,45,Press,53,Normal,Cover
76,9986,Sporting Charleroi,CHA,670,1188,2010-02-22,40,Balanced,47.0,Little,50,Mixed,Organised,45,Normal,43,Normal,60,Normal,Organised,70,High,70,Double,70,Wide,Cover
77,9986,Sporting Charleroi,CHA,670,1189,2011-02-22,47,Balanced,47.0,Little,36,Mixed,Organised,34,Normal,33,Little,53,Normal,Organised,49,Medium,58,Press,48,Normal,Cover
78,9986,Sporting Charleroi,CHA,670,1190,2013-09-20,60,Balanced,47.0,Little,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,42,Medium,48,Press,49,Normal,Cover
79,9986,Sporting Charleroi,CHA,670,1191,2014-09-19,60,Balanced,47.0,Normal,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,42,Medium,48,Press,49,Normal,Cover
80,9986,Sporting Charleroi,CHA,670,1192,2015-09-10,60,Balanced,47.0,Normal,53,Mixed,Organised,48,Normal,50,Normal,48,Normal,Organised,39,Medium,48,Press,49,Normal,Cover
81,9997,Sint-Truidense VV,STT,680,1234,2010-02-22,50,Balanced,48.0,Little,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,50,Medium,50,Press,50,Normal,Cover
82,9997,Sint-Truidense VV,STT,680,1235,2011-02-22,53,Balanced,48.0,Little,53,Mixed,Organised,48,Normal,52,Normal,53,Normal,Organised,46,Medium,46,Press,46,Normal,Cover
83,9997,Sint-Truidense VV,STT,680,1236,2012-02-22,52,Balanced,48.0,Little,55,Mixed,Organised,52,Normal,55,Normal,47,Normal,Organised,32,Deep,40,Press,41,Normal,Cover
84,9989,Lierse SK,LIE,239,732,2011-02-22,48,Balanced,44.0,Little,65,Mixed,Organised,55,Normal,45,Normal,50,Normal,Organised,46,Medium,48,Press,45,Normal,Cover
85,9989,Lierse SK,LIE,239,733,2012-02-22,69,Fast,44.0,Little,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,45,Medium,49,Press,65,Normal,Cover
86,9989,Lierse SK,LIE,239,734,2013-09-20,69,Fast,44.0,Little,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Free Form,38,Medium,49,Press,65,Normal,Cover
87,9989,Lierse SK,LIE,239,735,2014-09-19,69,Fast,44.0,Normal,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,38,Medium,49,Press,65,Normal,Cover
88,9989,Lierse SK,LIE,239,736,2015-09-10,69,Fast,44.0,Normal,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,38,Medium,49,Press,65,Normal,Cover
89,6351,KAS Eupen,EUP,2013,404,2011-02-22,50,Balanced,48.0,Little,55,Mixed,Organised,50,Normal,55,Normal,55,Normal,Organised,50,Medium,50,Press,55,Normal,Cover
90,1773,Oud-Heverlee Leuven,O-H,100087,941,2012-02-22,52,Balanced,51.0,Little,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover
91,1773,Oud-Heverlee Leuven,O-H,100087,942,2013-09-20,52,Balanced,51.0,Little,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover
92,1773,Oud-Heverlee Leuven,O-H,100087,943,2014-09-19,52,Balanced,51.0,Normal,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover
93,8475,Waasland-Beveren,WAA,110913,1364,2013-09-20,62,Balanced,45.0,Little,53,Mixed,Organised,50,Normal,30,Little,54,Normal,Free Form,30,Deep,49,Press,35,Normal,Cover
94,8475,Waasland-Beveren,WAA,110913,1365,2014-09-19,38,Balanced,45.0,Normal,39,Mixed,Organised,29,Safe,30,Little,39,Normal,Organised,25,Deep,37,Press,35,Normal,Cover
95,8475,Waasland-Beveren,WAA,110913,1366,2015-09-10,38,Balanced,45.0,Normal,49,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,27,Deep,32,Contain,35,Normal,Cover
96,8573,KV Oostende,OOS,682,933,2014-09-19,52,Balanced,49.0,Normal,54,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,42,Medium,47,Press,44,Normal,Cover
97,8573,KV Oostende,OOS,682,934,2015-09-10,52,Balanced,49.0,Normal,54,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,42,Medium,47,Press,44,Normal,Cover
98,274581,Royal Excel Mouscron,MOP,111560,859,2015-09-10,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
99,10260,Manchester United,MUN,11,807,2010-02-22,70,Fast,34.0,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
100,10260,Manchester United,MUN,11,808,2011-02-22,65,Balanced,34.0,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover
101,10260,Manchester United,MUN,11,809,2012-02-22,46,Balanced,34.0,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover
102,10260,Manchester United,MUN,11,810,2013-09-20,46,Balanced,34.0,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover
103,10260,Manchester United,MUN,11,811,2014-09-19,46,Balanced,34.0,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover
104,10260,Manchester United,MUN,11,812,2015-09-10,38,Balanced,42.0,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover
105,10261,Newcastle United,NEW,13,893,2010-02-22,70,Fast,33.0,Little,60,Mixed,Organised,65,Normal,70,Lots,60,Normal,Organised,45,Medium,65,Press,45,Normal,Cover
106,10261,Newcastle United,NEW,13,894,2011-02-22,55,Balanced,33.0,Little,50,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
107,10261,Newcastle United,NEW,13,895,2012-02-22,54,Balanced,33.0,Little,54,Mixed,Organised,54,Normal,68,Lots,48,Normal,Organised,52,Medium,48,Press,42,Normal,Cover
108,10261,Newcastle United,NEW,13,896,2013-09-20,58,Balanced,33.0,Little,72,Long,Organised,48,Normal,51,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover
109,10261,Newcastle United,NEW,13,897,2014-09-19,54,Balanced,33.0,Little,47,Mixed,Organised,47,Normal,51,Normal,39,Normal,Organised,56,Medium,54,Press,51,Normal,Cover
110,10261,Newcastle United,NEW,13,898,2015-09-10,58,Balanced,45.0,Normal,49,Mixed,Organised,47,Normal,54,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover
111,9825,Arsenal,ARS,1,71,2010-02-22,66,Balanced,51.0,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
112,9825,Arsenal,ARS,1,72,2011-02-22,75,Fast,51.0,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover
113,9825,Arsenal,ARS,1,73,2012-02-22,25,Slow,51.0,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover
114,9825,Arsenal,ARS,1,74,2013-09-20,30,Slow,51.0,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover
115,9825,Arsenal,ARS,1,75,2014-09-19,59,Balanced,51.0,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
116,9825,Arsenal,ARS,1,76,2015-09-10,59,Balanced,51.0,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
117,8659,West Bromwich Albion,WBA,109,1379,2010-02-22,65,Balanced,34.0,Little,40,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
118,8659,West Bromwich Albion,WBA,109,1380,2011-02-22,60,Balanced,34.0,Little,65,Mixed,Organised,40,Normal,50,Normal,45,Normal,Organised,35,Medium,55,Press,60,Normal,Cover
119,8659,West Bromwich Albion,WBA,109,1381,2012-02-22,48,Balanced,34.0,Little,48,Mixed,Organised,45,Normal,60,Normal,54,Normal,Organised,38,Medium,38,Press,52,Normal,Cover
120,8659,West Bromwich Albion,WBA,109,1382,2013-09-20,55,Balanced,34.0,Little,54,Mixed,Organised,57,Normal,53,Normal,57,Normal,Organised,33,Deep,31,Contain,49,Normal,Cover
121,8659,West Bromwich Albion,WBA,109,1383,2014-09-19,55,Balanced,34.0,Normal,51,Mixed,Organised,53,Normal,53,Normal,57,Normal,Organised,41,Medium,40,Press,49,Normal,Cover
122,8659,West Bromwich Albion,WBA,109,1384,2015-09-10,62,Balanced,32.0,Little,51,Mixed,Organised,53,Normal,50,Normal,60,Normal,Organised,41,Medium,40,Press,49,Normal,Cover
123,8472,Sunderland,SUN,106,1249,2010-02-22,60,Balanced,33.0,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
124,8472,Sunderland,SUN,106,1250,2011-02-22,55,Balanced,33.0,Little,55,Mixed,Organised,55,Normal,65,Normal,55,Normal,Organised,45,Medium,55,Press,65,Normal,Cover
125,8472,Sunderland,SUN,106,1251,2012-02-22,67,Fast,33.0,Little,62,Mixed,Organised,44,Normal,72,Lots,59,Normal,Organised,47,Medium,53,Press,60,Normal,Cover
126,8472,Sunderland,SUN,106,1252,2013-09-20,57,Balanced,33.0,Little,66,Mixed,Organised,56,Normal,31,Little,72,Lots,Organised,47,Medium,52,Press,49,Normal,Cover
127,8472,Sunderland,SUN,106,1253,2014-09-19,60,Balanced,33.0,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover
128,8472,Sunderland,SUN,106,1254,2015-09-10,43,Balanced,43.0,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover
129,8650,Liverpool,LIV,9,743,2010-02-22,50,Balanced,48.0,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover
130,8650,Liverpool,LIV,9,744,2011-02-22,60,Balanced,48.0,Little,50,Mixed,Organised,40,Normal,45,Normal,60,Normal,Organised,55,Medium,55,Press,50,Normal,Cover
131,8650,Liverpool,LIV,9,745,2012-02-22,60,Balanced,48.0,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover
132,8650,Liverpool,LIV,9,746,2013-09-20,39,Balanced,48.0,Little,44,Mixed,Organised,42,Normal,34,Normal,54,Normal,Organised,59,Medium,52,Press,61,Normal,Cover
133,8650,Liverpool,LIV,9,747,2014-09-19,71,Fast,48.0,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover
134,8650,Liverpool,LIV,9,748,2015-09-10,66,Balanced,60.0,Normal,45,Mixed,Organised,34,Normal,34,Normal,46,Normal,Organised,51,Medium,52,Press,61,Normal,Cover
135,8654,West Ham United,WHU,19,1385,2010-02-22,58,Balanced,39.0,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
136,8654,West Ham United,WHU,19,1386,2011-02-22,35,Balanced,39.0,Little,35,Mixed,Organised,30,Safe,45,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
137,8654,West Ham United,WHU,19,1387,2012-02-22,63,Balanced,39.0,Little,64,Mixed,Organised,44,Normal,60,Normal,55,Normal,Organised,30,Deep,34,Press,38,Normal,Cover
